"oid","uniq_id","stor_folder","stor_phys","stor_reason","stor_date","stor_dept","stor_person","stor_desc","stor_fmts","stor_units","obj_name","type_of_work","obj_synopsis","obj_type","obj_sub_type","obj_assoc_inv_nums","obj_date","obj_year","obj_authors","obj_orgs","obj_restrict","obj_rights","obj_rdoc_name","obj_rdoc_num","obj_terms","obj_sources","obj_supl_info","obj_main_min","obj_supl_min","obj_group_min","obj_assoc_geol","spat_atd_ate","spat_loc","spat_num_grid","spat_coords_source","spat_toponim","inf_type","inf_media","path_others","obj_main_group","obj_sub_group","path_local","path_cloud","status","timecode","obj_sub_group_ref","path_local_ref","path_cloud_ref"
"11250","g01s03y2022m06d23n3e","27772-Станкевич В.С.,2000","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","PDF, JPG, TXT","1 папка (том 1); 2 папка (том 2); 3 папка (графика); 1 файл (инф.)","Поисково-оценочные работы на россыпное золото по террасам современных и древних долин в бассейне верхнего течения р. Б. Мурожной (отчет Северо-Ангарской ГРП о результатх поисково-оценочных работ за 1996-1999 гг.)","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 27772; Росгеолфонд: 476300","","2000","Станкевич В.С., Бычков А.Т., Борисенок Ф.И. и др.","ГУП ""Сибзолоторазведка"", Северо-Ангарская ГРП","","РФ","Лицензия КРР00591БП от 16.10.1997 г.","Лицензия КРР00591БП от 16.10.1997 г.","Геологоразведочные работы, бассейн верхнего течения р. Б. Мурожной, открытая раздельная добыча, Екатерининская (терраса), Переходнинская (терраса), запасы, золото, O-46-XI, Красноярский край","","","Золото россыпное","","Благородыне металлы","Россыпи р.Б. Мурожной, террасы Екатерининская, Переходнинская","Красноярский край","Мотыгинский район","O-46-XI","","Реки Б. Мурожная, Ишимба, Удерей, Татарка, Тасеева, руч. Кирьяновский","Интерпретированная","Электронный","Гос. Рег. № 16-96-8/12","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\27772-Станкевич В.С.,2000","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/27772-Станкевич В.С.,2000","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\27772-Станкевич В.С.,2000","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/27772-Станкевич В.С.,2000"
"11252","g01s03y2022m06d23n5e","27877-Теплых В.А.,2001","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","10.06.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC","1 файл (текст); 2 файл (протокол)","Поисково-оценочные работы на россыпное золото по террасам и ручьям в бассейне верхнего течения р. Удерей (Отчет Северо-Ангарской ГРП о результатх геологоразведочных работ за 1995-1996 гг.)","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 27877; Росгеолфонд: 476811","","2001","Теплых В.А., Станкевич В.С., Борисенок Ф.И. и др.","ГУП ""Сибзолоторазведка"", Северо-Ангарская ГРП","","РФ","Лицензия КРР00422БР от 30.12.1996 г.","Лицензия КРР00422БР от 30.12.1996 г.","Геологоразведочные работы, бурение, скважины, россыпь, золото, Удерей (река), Безымянка-2 (река), Бурахта (река), Надеждинская (терраса), O-46-XI, Крассноярский край","","","Золото россыпное","","Благородыне металлы","Верховья бассейна р. Удерей","Красноярский край","Мотыгинский район","O-46-XI","58º45'52"" с.ш.; 94º17'48"" в.д.; 58º43'28"" с.ш., 94º24'39"" в.д","Реки Бугарихта, Туктугаевка, Удерей, руч. Бурахта, Сухой, Безымянка-2, Теплый","Интерпретированная","Электронный","Гос. Рег. № 16-96-8/13","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\27877-Теплых В.А.,2001","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/27877-Теплых В.А.,2001","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\27877-Теплых В.А.,2001","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/27877-Теплых В.А.,2001"
"11253","g01s03y2022m06d23n6e","27967-Головачев Н.Я.,2002","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","PDF, JPG, TXT","1 папка (том 1); 2 папка (том 2); 3 папка (том 3); 4 папка (том 4); 5 папка (графика); 6 папка (графика)","Золоторудное месторождение Ведугинское (Отчет о результатах геологоразведочных работ с подсчетом запасов окисленных руд и оценкой прогнозных ресурсов категории Р1 по состоянию на 01.01.2002 г.)","Оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 27967; Росгеолфонд: 3401","","2002","Головачев Н.Я., Кавицкий С.Л., Лопатин В.А. и др.","ООО ""ГРК ""Амикан""""","","РФ","Лицензия КРР00420БР от 16.12.1996 г.","Лицензия КРР00420БР от 16.12.1996 г.","Оценочные работы, золото, месторождение Ведугинское, кавы, скважины, золото-сульфидная ормация, верхний протерозой, Верхнеудерейская свита, антиклиналь, межслоевой сброс, запасы, ремурсы, карьер, O-46-IV, Красноярский край","","","Золото","","Благородные металлы","Месторождение Ведугинское","Красноярский край","Северо-Енисейский район","O-46-IV","","Пос. Еруда, Тея, Новая Каломи, Суворовский, Новоерудинский, Вангаш, Пит-Городок, пгт. Северо-Енисейский, реки Б. Пит, Ведуга, Мал. Ведуга","Интерпретированная","Электронный","Гос. Рег. № 16-98-1/1","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\27967-Головачев Н.Я.,2002","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/27967-Головачев Н.Я.,2002","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\27967-Головачев Н.Я.,2002","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/27967-Головачев Н.Я.,2002"
"11254","g01s03y2022m06d23n7e","27968-Станкевич В.С.,2001","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","PDF, JPG, TXT","1 папка (том 1); 2 папка (том 2); 3 папка (том 3); 4 папка (графика); 5 папка (графика); 1 файл (инф.)","Поисковые и оценочные работы на россыпное золото в бассейне нижнего течения р. Удерей (Отчет о работах Северо-Ангарской ГРП за 2000-2001 гг.)","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 27968; Росгеолфонд: 478153","","2001","Станкевич В.С., Теплых В.А., Борисенок Ф.И. и др.","ГУП ""Сибзолоторазведка"", Северо-Ангарская ГРП","","РФ","Лицензия КРР00805БП от 08.06.1999 г.","Лицензия КРР00805БП от 08.06.1999 г.","Геологоразведочные работы, долина р. Удерей (полигон ""Устье""), запасы, Белая (река), Безназванный (ручей), Чинеуль (река), золотоносность, дражная добыча, открытая раздельная добыча, O-46-XII, Красноярский край","","","Золото россыпное","","Благородные металлы","Полигон Устье","Красноярский край","Мотыгинский район","O-46-XII","","Реки Удерей, Белая, Чинеуль, Ангара, руч. Ямный, Безназванный, Чирикант, пос. Мотыгино, Первомайск, Орджоникидзе, Кулаково, Южно-Енисейск","Интерпретированная","Электронный","Гос. Рег. № 16-96-8/10","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\27968-Станкевич В.С.,2001","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/27968-Станкевич В.С.,2001","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\27968-Станкевич В.С.,2001","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/27968-Станкевич В.С.,2001"
"11258","g01s03y2022m06d23n11e","28227-Кавицкий С.Л.,2003","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","PDF, JPG, TXT","1 папка (том 1); 2 папка (том 2); 3 папка (графика); 1 файл (инф.)","Золотоносная россыпь реки Малой Мурожной с ручьями Северный и Ивановский (Пересчет запасов золота по состоянию тна 01.01.2003 г.)","Оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 28227; Росгеолфонд: 3615","","2003","Кавицкий С.Л., Тагаров А.В. и др.","ОАО ""Красноярская ГГК"" (ОАО ""Красноярскгеология"")","","РФ","","","Россыпь, ГРР, характеристика россыпи, подсчет запасов, кондиции, методика, оконтуривание, пласт, мощность, выдающиеся пробы, заверочные работы, классификация запасов, обоснование, балансовая принадлежность","","","Золото россыпное","","Благородные металлы","Россыпь реки Мал. Мурожная с ручьями Северный, Ивановский","Красноярский край","Мотыгинский район","O-46","","Енисейский кряж, река Малая Мурожная, руч. Северный, Ивановский","Интерпретированная","Электронный","","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\28227-Кавицкий С.Л.,2003","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/28227-Кавицкий С.Л.,2003","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\28227-Кавицкий С.Л.,2003","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/28227-Кавицкий С.Л.,2003"
"11259","g01s03y2022m06d23n12e","28262-Сергуткин А.М.,2003","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, TIFF","1 папка (приложения); 2 папка (протокол); 3 папка (рисунки); 1 файл (текст)","Оценка россыпи верхнего течения реки Еруда для дражной добычи (Отчет о работах Советской ГРП за 2000-2003 гг.)","Оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 28262; Росгеолфонд: 481850","","2003","Сергуткин А.М., Анучин Л.Г., Сорокин В.И. и др.","ОАО ""Сибзолоторазведка""","","РФ","Лицензия КРР00876БП от 27.01.2000 г.","Лицензия КРР00876БП от 27.01.2000 г.","Оценочные работы, россыпи, бурение скважин, золото, плотик, кондиции, запасы, дражная отработка, Еруда (река), Малая Гурахта, Талая (речки), O-46-IV, Красноярский край, бассейн верхнего течения реки Еруда","","","Золото россыпное","","Благородные металлы","Долина верхнего течения р. Еруда","Красноярский край","Северо-Енисейский район","O-46-IV","59°46'10"" - 59°51'45"" с.ш., 93°19'15"" – 93°25'50"" в.д.","Реки Еруда, Малая Гурахта, Талая, Чиримба, Енисейский кряж","Интерпретированная","Электронный","Гос. Рег. № 16-00-33/9","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\28262-Сергуткин А.М.,2003","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/28262-Сергуткин А.М.,2003","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\28262-Сергуткин А.М.,2003","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/28262-Сергуткин А.М.,2003"
"11267","g01s03y2022m06d23n20e","29781-Заморский С.Л.,2009","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, JPG","1 папка (графика); 2 папка (рисунки); 3 папка (текст); 1 файл (приложения); 2 файл (инф.)","Поисковые работы на рудное золото на участке Раздольном на территории Сисимского золоторудного района в Восточном Саяне (Отчет ОАО ""Минусинская ГРЭ"" за 2007-2009 гг)","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 29781; Росгеолфонд: 496236","","2009","Заморский С.Л., Безызвестных В.Ю., Калачева Н.С. и др.","ОАО ""Минусинская ГРЭ""","","РФ","Лицензия КРР01768БП от 19.06.2007 г.","Лицензия КРР01768БП от 19.06.2007 г.","Сисимский рудный район, геохимические поиски, золотопроявление, минерализованная зона, Лысанская свита, прогнозные ресурсы, N-46-X, Красноярский край, Восточный Саян","","","Золото","","Благородные металлы","Сисимский золоторудный район, участок Раздольный","Красноярский край","Курагинский район","N-46-X","54°42' с.ш. 93°20' в.д.
54°45' с.ш. 93°20' в.д.
54°45' с.ш. 93°27' в.д.
54°42' с.ш. 93°27' в.д.","Реки Мал. и Сред. Сейба, Джетка, Лев. Ко, Сисим, руч. Владимирский","Интерпретированная","Электронный","Гос. Рег. № 16-07-27/2","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\29781-Заморский С.Л.,2009","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/29781-Заморский С.Л.,2009","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\29781-Заморский С.Л.,2009","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/29781-Заморский С.Л.,2009"
"11269","g01s03y2022m06d23n22e","30007-Савицкий С.А.,2010","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, SHS, DWG","1 папка (пересчет запасов); 1 файл (планшеты); 2 файл (пуск)","Перерасчет остаточных запасов россыпного золота по долине р. Вангаш (полигон драги № 23) на 01.12.2010 г.","Оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 30007; Росгеолфонд: 501852","","2010","Савицкий С.А., Борковский П.А., Сысоев В.А. и др.","ООО АС ""Прииск Дражный""","","РФ","Лицензия КРР00775БЭ от 23.03.1999 г.","Лицензия КРР00775БЭ от 23.03.1999 г.","Россыпное золото, дражная добыча, коэффициент намыва, кондиции, подсчет остаточных запасов, Северо-Енисейский район","","","Золото россыпное","","Благородные металлы","Россыпь долины р. Вангаш (полигон драги № 23), месторождения Советское, Эльдорадо, Олимпиадинское, Благодатное, рудопроявления Огне-Потеряевское, Александро-Агеевское, Доброе, Татьянинское","Красноярский край","Северо-Енисейский район","О-46-IV","93°40' в.д., 59°54' с.ш. (верх)
93°38' в.д., 59°51' с.ш. (низ)","Реки Вангаш, Чиримба, Актолик, Турма, Енисей, руч. Мекся, пос. Новая Калами, Тея, Вангаш","Интерпретированная","Электронный","Гос. Рег. № 04-09-154","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\30007-Савицкий С.А.,2010","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/30007-Савицкий С.А.,2010","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\30007-Савицкий С.А.,2010","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/30007-Савицкий С.А.,2010"
"11274","g01s03y2022m06d23n27e","30705-Шедько К.П.,2011","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, XLS, PDF, JPG","1 папка (графика); 2 папка (паспорт); 3 папка (рисунки); 4 папка (сопровод.); 5 папка (текст); 6 папка (текст. прил.); 1 файл (инф.)","Отчет о результатах поисковых и оценочных работ в пределах Раздолинского рудного узла в 2005-2009 гг. с подсчетом запасов по состоянию на 01.01.2011 г.","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 30705; Росгеолфонд: 501314","","2011","Шедько К.П., Богданов Н.Г., Кухаренко В.В. и др.","ООО ""Красноярское ГРП"", ООО ""Геокомп""","","РФ","Лицензия КРР14146БР от 04.07.2007 г.","Лицензия КРР14146БР от 04.07.2007 г.","Красноярский край, Енисейский кряж, Раздолинский рудный узел, месторождение Змеиное, кординская, горбилокская, удерейская свиты, минерализованная зона, литохимические поиски, магниторазведка, электроразведка, электротомография, бурение, проходка траншей, золотое оруденение, подсчет запасов и ресурсов, подсчетный блок, конфиденциально","","","Золото","","Благородные металлы","Раздолинский рудный узел, рудопроявления Светлое, Антониновское, участки Северный, Восточный, Боголюбовский, Гусельниковский, Сорочинский, Рудничный, месторождение Змеиное","Красноярский край","Мотыгинский район","N-46-XVII","58°23'40"" с.ш. 94°36'40"" в.д.
58°23'40"" с.ш. 94°38'20"" в.д.
58°25'00"" с.ш. 94°39'00"" в.д.
58°24'50"" с.ш. 94°40'00"" в.д.
58°23'20"" с.ш. 94°41'20"" в.д.
58°21'50"" с.ш. 94°40'50"" в.д.
58°20'00"" с.ш. 94°41'10"" в.д.
58°20'00"" с.ш. 94°38'40"" в.д.
58°21'30"" с.ш. 94°38'40"" в.д.
58°22'20"" с.ш. 94°38'20"" в.д.
58°22'50"" с.ш. 94°36'50"" в.д.","Реки Ангара, Рыбная, Енисей, Афониха, Большая и Малая Авериха, ручьи Кривляжный, Сорочий, Гусельникова, Моисеевский, Боголюбовский, пос. Мотыгино, Раздолинск, г. Красноярск, Канск, Енисейск","Интерпретированная","Электронный","Гос. Рег. № 04-09-75","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\30705-Шедько К.П.,2011","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/30705-Шедько К.П.,2011","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\30705-Шедько К.П.,2011","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/30705-Шедько К.П.,2011"
"11479","g01s03y2022m08d19n8e","6673-Курганов Г.А.,1969","ТФГИ по Сибирскому ФО","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","02.08.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд; ТФГИ по Алтайскому кр.; ТФГИ по Кемеровской обл.","JPG, TIFF","1 папка (снимки, текст); 2 папка (т. 2, усл. обозн.); 3 папка (опись)","Геологическое строение и полезные ископаемые площади листов N-45-50-Б и N-45-50-Г (Отчет Полдневской ГСП по работам 1965-69 гг. в С-З Салаире)","Региональные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Сибирскому ФО: 6673; ТФГИ по Алтайскому кр.: 3110; ТФГИ по Кемеровской обл.: 16281; Росгеолфонд: 301235","","1969","Курганов Г.А., Дергачев В.Б., Нешумаева К.Д. и др.","Новосибирское ТГУ, Новосибирская ГПЭ","","РФ","","","Бурение, съемка, поиски, исследования, перспектива, эффузивно-осадочные отложения, ","","","Золото, ртуть, медь, свинец, цинк, бокситы","","Благородные металлы, цветные металлы","Салаирский кряж, участки Сухой Лог, Екатеринка","Новосибирская область, Кемеровская область, Алтайский край","Маслянинский район, Тогучинский район, Ленинск-Кузнецкий район, Залесовский район","N-45-50-Б, N-45-50-Г","","Реки Бердь, Инь, Обь, Суенга, Елбань, пос. Средняя и Верхняя Матренка, Нижняя Матренка, Лебедиха, Петеня, г. Новосибирск, жд.ст. Курундус, Черепаново","Интерпретированная","Электронный","","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\6673-Курганов Г.А.,1969","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/6673-Курганов Г.А.,1969","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\6673-Курганов Г.А.,1969","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/6673-Курганов Г.А.,1969"
"11275","g01s03y2022m06d23n28e","30746-Тимкин С.Б.,2005","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","","DOC, XLS, CDR","1 папка (графика); 2 папка (книга 1); 3 папка (книга 2); 4 папка (книга 3)","Отчет о результатах первого этапа геологоразведочных работ по объекту ""Детальная разведка техногенной россыпи благородных металлов р. Щучья (Норильский промышленный район) в 2000-2003 гг."" с ТЭО разведочных кондиций и подсчетом запасов и ресурсов по состоянию на 01.11.2004 г.","Оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 30746","","2005","Тимкин С.Б., Брагин В.И., Дубцов Э.А. и др.","ЗАО ""Рутений""","","РФ","Лицензия ДУД12665БР от 07.09.2004 г.","Лицензия ДУД12665БР от 07.09.2004 г.","Норильский промышленный район, полезные компоненты, платина, палладий, золото, траншея, скважина, копуш, борозда, пласт песков, техногенные отложения, пески, торфа, разведочная сеть, опытная эксплуатация, вещественный состав, лежалые хвосты, подсчет запасов, категория запасов, мощность, содержание, вертикальный запас, R-45-XXII, -XXIII, -XXVIII, -XXIX. Таймырский АО","","","Золото, МПГ","","Благородные металлы","Россыпь р. Щучья","Красноярский край","Дудинский район","R-45-XXII, R-45-XXIII, R-45-XXVIII, R-45-XXIX","","Реки Щучья, Наледная, оз. Квадратное","Интерпретированная","Электронный","Гос. Рег. № 56-96-1/2","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\30746-Тимкин С.Б.,2005","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/30746-Тимкин С.Б.,2005","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\30746-Тимкин С.Б.,2005","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/30746-Тимкин С.Б.,2005"
"11276","g01s03y2022m06d23n29e","30776-Кузнецов В.П.,2010","ТФГИ по Красноярскому кр.","Приказ ФГУП ЦНИГРИ (ФГБУ ""ЦНИГРИ"") от 25.10.2016 № 57. Регламент № 1 учета и передачи информации в цифровом виде электронного банка геологических данных ФГБУ ""ЦНИГРИ"", 2018","22.02.2022","Лаборатория ЕБГИ отдела ГИС","Генинг К.С., ведущий инженер","Росгеолфонд","DOC, XLS, PDF, JPG, DWF","1 папка (графика); 2 папка (том 1); 3 папка (том 2); 4 папка (том 3)","Разведочные работы на Боголюбовском месторождении рудного золота. Отчет с подсчетом запасов по результатам работ за 2003-2010 гг.","Поисково-оценочные работы","","Отчет полный","Отчетные и фондовые материалы","ТФГИ по Красноярскому кр.: 30776; Росгеолфонд: 499670","","2010","Кузнецов В.П., Коган Б.С., Дельдичкин М.Н. и др.","ЗАО ЗК ""Золотая Звезда""","","РФ","Лицензия КРР12575БР от 04.08.2004 г.","Лицензия КРР12575БР от 04.08.2004 г.","Боголюбовское месторождение, Красноярский край, Мотыгинский район, золото, разведочные работы, канавы, бурение, окисленные руды, первичные руды, ТЭО кондиций, запасы, ресурсы","","","Золото","","Благородные металлы","Месторождение Боголюбовское","Красноярский край","Мотыгинский район","O-46-XVII ","58º23'22"" с.ш., 94º37'10"" в.д.
58º23'27"" с.ш., 94º39'10"" в.д.
58º23'08"" с.ш., 94º39'15"" в.д.
58º22'35"" с.ш., 94º36'50"" в.д.
58º22'35"" с.ш., 94º37'20"" в.д.","Енисейский кряж, пос. Мотыгино, Раздолинск","Интерпретированная","Электронный","Гос. Рег. № 16-05-1/1","01FOND","03TGF","\\pegas\UDS\01FOND\03TGF\30776-Кузнецов В.П.,2010","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-МАТЕРИАЛЫ РЕГИОНАЛЬНЫХ ФОНДОВ/30776-Кузнецов В.П.,2010","","","","03TGF_REF","\\pegas\UDS\01FOND\03TGF_REF\30776-Кузнецов В.П.,2010","http://cloud.tsnigri.ru/apps/files/?dir=/01-03-РЕФЕРАТЫ ФОНДОВЫХ МАТЕРИАЛОВ ТГФ/30776-Кузнецов В.П.,2010"
